Player,Latitude,Longitude
Dante Pettis,38.891896,-77.033788
Mike McGlinchey,-20.142818,57.559884
Korey Toomer,45.494744,-115.463661
Jonathan Cooper,35.226894,-80.437765
Jeff Locke,22.413697,114.210107
Jeremiah Attaochu,42.001712,43.366107
Weston Richburg,39.857397,-106.649787
Jerick McKinnon,31.229998,-81.518384
Richard Sherman,-34.440195,19.456772
Malcolm Johnson,33.456799,-88.783787
Player,Latitude,Longitude
Dante Pettis,38.891896,-77.033788
Mike McGlinchey,-20.142818,57.559884
Korey Toomer,45.494744,-115.463661
Jonathan Cooper,35.226894,-80.437765
Jeff Locke,22.413697,114.210107
Jeremiah Attaochu,42.001712,43.366107
Weston Richburg,39.857397,-106.649787
Jerick McKinnon,31.229998,-81.518384
Richard Sherman,-34.440195,19.456772
Malcolm Johnson,33.456799,-88.783787
Player,Latitude,Longitude
Dante Pettis,38.891896,-77.033788
Mike McGlinchey,-20.142818,57.559884
Korey Toomer,45.494744,-115.463661
Jonathan Cooper,35.226894,-80.437765
Jeff Locke,22.413697,114.210107
Jeremiah Attaochu,42.001712,43.366107
Weston Richburg,39.857397,-106.649787
Jerick McKinnon,31.229998,-81.518384
Richard Sherman,-34.440195,19.456772
Malcolm Johnson,33.456799,-88.783787
Player,Latitude,Longitude
Dante Pettis,38.891896,-77.033788
Mike McGlinchey,-20.142818,57.559884
Korey Toomer,45.494744,-115.463661
Jonathan Cooper,35.226894,-80.437765
Jeff Locke,22.413697,114.210107
Jeremiah Attaochu,42.001712,43.366107
Weston Richburg,39.857397,-106.649787
Jerick McKinnon,31.229998,-81.518384
Richard Sherman,-34.440195,19.456772
Malcolm Johnson,33.456799,-88.783787
